sentiment,content
1,mrstravisbennet cool im glad everyone nice date night maybe one day ill get one too
1,vardenrhode many thanks mate
0,aaronob music teacher either expired forgot lesson leaving outside waiting ride pick hour
1,mikegentile http twitpic com la best kind gum ever bought pack
1,vocalyz hi im better drinking hot tea honey thanks take care plis
1,jaezors b day may party sat come gay
1,can t wait till move home life next year wacky adventure every day
0,really weird night last night miss friend
0,pilgrimfamilyuk oh hate
0,grossnoises miss yoooouuuu
0,mannyishere awww he cute wish could ve gone
0,gemmak know exactly mean lost many friend feel
1,ashleytisdale http twitpic com aho hahaha ily ashley u r like best world
0,going sleep gonna fall asleep playing apps again tmrw going suck
1,costco bit print photo photobook
1,mikeyconner hey bought porter cable piece set new drill led light near trigger oh happy
1,mateoonline sure u did can t w morrow shw happy mommy day me
1,jeseekuhluv yea think waited long oh well thats cool signed already done core class
0,brianna love aw goanna get see tonight co leave tot s early go missy s bday party pullin double haha
1,ggeastldn im cool cant wait hear story xoxo
0,school want read eclipse and some page read
0,miss rich
1,oh hella forgot say official good morning like hear it go goooooooooooood morrrrrrrrning twitterville lol
1,got rad new t shirt aunt made cool shiny shiny pink material
0,danger sky miss is i never want come home seriously
0,omg period cramp ftl much pain
1,jnacool dont understand sensex but wow
1,love leave laptop bed creates nice toasty spot
1,debbiefletcher happy mother day hope tom got something special enjoy day xo
1,vengeancechrist hey girl sent ya message myspace
1,jeffpulver done book signing manchester nice people there enjoy week
1,hallooo bayern hallooo stau
0,cont small child puppy cleche sarcasm annoying bcreative again that s harrd
0,getting ready drop something man hang friend instead
0,jonathanrknight g night jonathan tried stay up really did can t wait till ur timezone much easier then
1,last drop thesis god let end today
1,chillin roomy can t wait zombie clwn cr gonna week
0,doesnt want anymore
0,uploaded new blog painful story s year old man cried wanted die sad
0,apostropheme real boy goddamit guh apostro feel sad library lady think stupid stupid j
0,hate rob zombie movie amp smell weed vommmm
1,wanna better already
0,oowww why wisdom teeth hurt much
0,wow bed comfy amp nap much short getting work want
1,linooo ahhh knowww saw may th th newcastle good soo excited th june bday aswell
0,woke came realization put much want need drop friend dammit
1,yuniphan yay congratulation oh newly minted graduate let buy lunch iced chocolate plural celebrate
1,thatswhack aww that s sweet made home made card wrote song much oh well
1,goodlaura wave make ok again
1,sam ho naw min bug where tank would stop spawning min glad get keep
1,williambeekhuis hahahaha train want on wild ride
0,depressed again ugh help
0,raining stuck inside working today probably peed sunny outside ok rain
0,nd written fuck get le idea every day every day
1,nikkibons happy birthday dork lot love today wish could buy drink make great night
0,last day working uni today sad time
0,man two clock hr till work
0,going get full night sleep tonight arm get better fun forced use left hand
1,good morning happy mother day everyone
0,heading work friday off
0,alices hey can t make maker tonight
0,sorealcru gloomy la sun nice
0,nicolepenney suck going summer school need catch several unit
1,laptop grew speaker watch charlie sound
1,fonejacker haha know work blip apart obvious thanks reblipping song nice day xxx
0,changed car tire cost bomb
1,laermer yep three thing good haircut ability listen value taking seriously
1,ah lovely day bike ride cake making is rooting revising best x
0,know saying fuck it i m horny hell http twurl nl qcjc
1,conorp yes one final party better make good one much mpre stuff got go
1,cowpunkmom sweet deal want see movie methinks may star trek movie night time hmm
0,waking ungodly hour go work starting get old least coffee good
0,fairyfroggie yeah i m sad quot ravenclaw quot account love account bit
0,going yum dinner watch bad girlfriend play am call time tomorrow
1,rockin minivan til sti ready miss already
1,delicious pav bhaaji finely chopped onion little dash lemon yummy
0,dj cm drink enough hangover tired worked
0,stay away home since part india dnt hav gud wireless internet im fucked
0,wiffleball damn
0,lowestformofwit
1,vampire knight music feel special
0,maxicatimus mile essex give plenty warning arrive time get least one free beer
0,upsidedown tomato plant died
0,charlieks tonita face emmaleeks nana wish last night
0,shit lost star trek ring starfleet academy class ring w golden gate bridge it got high school graduation present
1,michaelmagical warmfuzzies you friend
1,celia brad finished lol
1,exploring twitter s world
1,sweetnote smooch well great day
0,played like game dota hahaha wanna go home
1,kusuma aaa new follower hiii
1,going sleep big beach day tommorow love guy nite
0,effort time put relationship people learn enough trust anyone
1,haciendo mi primer app con thin rack crazy stuff
0,start work missing like crazy i wont seeing till tuesday
0,oww can t even describe much back hurt going go stupid doctor
0,gotenkslovesme haha yeh lol maybe missed last roadshow cause rain
0,oliviamunn pretty lame babe
0,getting hair done missing
1,chrisdjmoyles get lol time eating id hate late
1,baybeehdoll u miss lol
0,bk ii choice get it
0,wynstonfernando take class fall cool though im okay
1,listening weightless time low thanks katarinahj making listening it
0,sickkkk and need now
1,industrial repierced made cute little friend
1,poisonivy fine thanks long till christmas i m excited
0,scouserach today rach
1,dream world battle evil spork horde later folk
1,meeshthebeast dee mack talking baby almost grown up
0,can t go movie today
1,found prom dress
1,great night tomorrow mother day
0,tbh credit phone sux cant even text people see what s happening like totally grrrsville
